,counts
2020-08-05,214113
2020-08-06,215039
2020-08-07,216196
2020-08-08,216903
2020-08-09,217288
2020-08-10,218508
2020-08-11,219540
2020-08-12,220859
2020-08-13,222281
2020-08-14,223791
2020-08-15,224488
2020-08-16,225007
2020-08-17,226700
2020-08-18,228120
2020-08-19,229706
2020-08-20,231292
2020-08-21,233029
2020-08-22,233861
2020-08-23,234494
2020-08-24,236122
2020-08-25,237583
2020-08-26,239010
2020-08-27,240571
2020-08-28,242126
2020-08-29,242835
2020-08-30,243305
2020-08-31,244802
2020-09-01,246015
2020-09-02,247411
2020-09-03,248840
2020-09-04,250283
2020-09-05,251058
2020-09-06,251728
2020-09-07,253626
2020-09-08,254957
2020-09-09,256433
2020-09-10,258149
2020-09-11,259735
2020-09-12,260817
2020-09-13,261737
2020-09-14,263222
2020-09-15,265014
2020-09-16,266869
2020-09-17,269048
2020-09-18,271247
2020-09-19,272932
2020-09-20,273965
2020-09-21,275560
2020-09-22,277412
2020-09-23,279025
2020-09-24,281346
2020-09-25,283712
2020-09-26,285026
2020-09-27,286339
2020-09-28,288631
2020-09-29,290471
2020-09-30,292913
2020-10-01,295539
2020-10-02,298374
2020-10-03,300027
2020-10-04,301573
2020-10-05,304673
2020-10-06,307127
2020-10-07,311137
2020-10-08,315941
2020-10-09,320495
2020-10-10,323463
2020-10-11,326309
2020-10-12,332850
2020-10-13,337314
2020-10-14,344487
2020-10-15,352107
2020-10-16,359802
2020-10-17,364664
2020-10-18,368671
2020-10-19,377068
2020-10-20,385591
2020-10-21,397922
2020-10-22,403874
2020-10-23,417350
2020-10-24,427808
2020-10-25,437698
2020-10-26,450258
2020-10-27,463419
2020-10-28,479621
2020-10-29,498354
2020-10-30,517736
2020-10-31,531790
2020-11-01,544346
2020-11-02,569598
2020-11-03,577131
2020-11-04,608611
2020-11-05,631172
2020-11-06,653992
2020-11-07,668114
2020-11-08,682624
2020-11-09,689146
2020-11-10,715693
2020-11-11,738094
2020-11-12,762832
2020-11-13,785093
2020-11-14,799733
2020-11-15,802946
2020-11-16,817526
2020-11-17,843757
2020-11-18,867484
2020-11-19,891525
2020-11-20,914118
2020-11-21,927990
2020-11-22,932367
2020-11-23,946822
2020-11-24,963192
2020-11-25,995879
2020-11-26,1017830
2020-11-27,1038649
2020-11-28,1052494
2020-11-29,1055691
2020-11-30,1069912
2020-12-01,1094678
2020-12-02,1117953
2020-12-03,1141544
2020-12-04,1157514
2020-12-05,1183640
2020-12-06,1194550
2020-12-07,1200006
2020-12-08,1229269
2020-12-09,1254358
2020-12-10,1287092
2020-12-11,1314309
2020-12-12,1336101
2020-12-13,1350810
2020-12-14,1357261
2020-12-15,1391086
2020-12-16,1423830
2020-12-17,1454009
2020-12-18,1486839
2020-12-19,1508518
2020-12-20,1514962
2020-12-21,1534218
2020-12-22,1570371
2020-12-23,1604129
2020-12-24,1630596
2020-12-25,1632736
2020-12-26,1646240
2020-12-27,1658639
2020-12-28,1672643
2020-12-29,1692109
2020-12-30,1741153
2020-12-31,1760520
2021-01-01,1762637
2021-01-02,1773540
2021-01-03,1783896
2021-01-04,1796216
2021-01-05,1814565
2021-01-06,1841228
2021-01-07,1886561
2021-01-08,1905638
2021-01-09,1928462
2021-01-10,1929410
2021-01-11,1941116
2021-01-12,1968326
2021-01-13,1993892
2021-01-14,2015235
2021-01-15,2023828
2021-01-16,2038645
2021-01-17,2050129
2021-01-18,2059382
2021-01-19,2071615
2021-01-20,2100618
2021-01-21,2108895
2021-01-22,2125261
2021-01-23,2137691
2021-01-24,2147769
2021-01-25,2154656
2021-01-26,2164043
2021-01-27,2179679
2021-01-28,2194562
2021-01-29,2207393
2021-01-30,2224911
2021-01-31,2225659
2021-02-01,2232327
2021-02-02,2240017
2021-02-03,2252504
2021-02-04,2265536
2021-02-05,2276371
2021-02-06,2285003
2021-02-07,2291673
2021-02-08,2296323
2021-02-09,2302051
2021-02-10,2311297
2021-02-11,2321225
2021-02-12,2330422
2021-02-13,2336906
2021-02-14,2341744
