,counts
2020-12-07,1737960
2020-12-08,1750241
2020-12-09,1766819
2020-12-10,1787783
2020-12-11,1809455
2020-12-12,1830956
2020-12-13,1849403
2020-12-14,1869666
2020-12-15,1888116
2020-12-16,1913277
2020-12-17,1948660
2020-12-18,1977167
2020-12-19,2004219
2020-12-20,2040147
2020-12-21,2073511
2020-12-22,2110314
2020-12-23,2149551
2020-12-24,2188587
2020-12-25,2221312
2020-12-26,2256005
2020-12-27,2288345
2020-12-28,2329730
2020-12-29,2382865
2020-12-30,2432888
2020-12-31,2488780
2021-01-01,2542065
2021-01-02,2599789
2021-01-03,2654779
2021-01-04,2713563
2021-01-05,2774479
2021-01-06,2836801
2021-01-07,2889419
2021-01-08,2957472
2021-01-09,3017409
2021-01-10,3072349
2021-01-11,3118518
2021-01-12,3164051
2021-01-13,3211576
2021-01-14,3260258
2021-01-15,3316019
2021-01-16,3357361
2021-01-17,3395959
2021-01-18,3433494
2021-01-19,3466849
2021-01-20,3505754
2021-01-21,3543646
2021-01-22,3583907
2021-01-23,3617459
2021-01-24,3647463
2021-01-25,3669658
2021-01-26,3689746
2021-01-27,3715054
2021-01-28,3743734
2021-01-29,3772813
2021-01-30,3796088
2021-01-31,3817176
2021-02-01,3835783
2021-02-02,3852623
2021-02-03,3871825
2021-02-04,3892459
2021-02-05,3911573
2021-02-06,3929835
2021-02-07,3945680
2021-02-08,3959784
2021-02-09,3972148
2021-02-10,3985161
2021-02-11,3998655
2021-02-12,4013799
2021-02-13,4027106
2021-02-14,4038078
