,counts
2020-12-12,28030
2020-12-13,28037
2020-12-14,28048
2020-12-15,28060
2020-12-16,28072
2020-12-17,28093
2020-12-18,28126
2020-12-19,28168
2020-12-20,28198
2020-12-21,28219
2020-12-22,28237
2020-12-23,28262
2020-12-24,28274
2020-12-25,28297
2020-12-26,28308
2020-12-27,28337
2020-12-28,28349
2020-12-29,28381
2020-12-30,28405
2020-12-31,28425
2021-01-01,28460
2021-01-02,28484
2021-01-03,28504
2021-01-04,28517
2021-01-05,28536
2021-01-06,28546
2021-01-07,28571
2021-01-08,28582
2021-01-09,28595
2021-01-10,28614
2021-01-11,28634
2021-01-12,28650
2021-01-13,28660
2021-01-14,28669
2021-01-15,28689
2021-01-16,28708
2021-01-17,28721
2021-01-18,28731
2021-01-19,28740
2021-01-20,28749
2021-01-21,28755
2021-01-22,28760
2021-01-23,28766
2021-01-24,28777
2021-01-25,28780
2021-01-26,28786
2021-01-27,28794
2021-01-28,28799
2021-01-29,28806
2021-01-30,28811
2021-01-31,28818
2021-02-01,28823
2021-02-02,28829
2021-02-03,28838
2021-02-04,28842
2021-02-05,28848
2021-02-06,28851
2021-02-07,28857
2021-02-08,28860
2021-02-09,28871
2021-02-10,28879
2021-02-11,28887
2021-02-12,28892
2021-02-13,28898
2021-02-14,28900
